OBJECTID,lat,lon,z,tag,species,common_name,individual_id
28,43.008626,-78.78375,140,128,Robinia pseudoacacia,Black Locust,205535
29,43.00857,-78.783727,140,129,Robinia pseudoacacia,Black Locust,205536
30,43.00937334,-78.78298167,141.8385957,130,Acer saccharum,Sugar Maple,205360
31,43.00880821,-78.78315459,139.6042326,131,Acer saccharum,Sugar Maple,205361
32,43.00862026,-78.78310703,137.7238366,132,Acer saccharum,Sugar Maple,205362
33,43.0086363,-78.78312346,139.2797914,133,Acer saccharum,Sugar Maple,205364
34,43.00850494,-78.78316655,142.3508943,134,Acer saccharum,Sugar Maple,205365
35,43.00837182,-78.78326808,138.8501359,135,Acer saccharum,Sugar Maple,205366
36,43.00836335,-78.78334611,138.7402593,136,Acer saccharum,Sugar Maple,205367
37,43.00830875,-78.78388381,139.5562524,137,Acer saccharum,Sugar Maple,205368
38,43.00833981,-78.78412648,140.1849529,138,Acer saccharum,Sugar Maple,205369
39,43.00852089,-78.78286427,138.8495781,139,Rhus typhina,Staghorn Sumac,205370
40,43.00848339,-78.78284154,143.4888275,140,Rhus typhina,Staghorn Sumac,205371
41,43.0084542,-78.78280658,137.0155876,141,Rhus typhina,Staghorn Sumac,205372
42,43.0084634,-78.78287231,130.4526132,142,Rhus typhina,Staghorn Sumac,205373
43,43.00846072,-78.78285023,140.1417822,143,Rhus typhina,Staghorn Sumac,205374
44,43.00844264,-78.7827971,141.7971166,144,Rhus typhina,Staghorn Sumac,205375
45,43.0084494,-78.78280531,140.6364348,145,Rhus typhina,Staghorn Sumac,205376
46,43.00846806,-78.78282226,141.764915,146,Rhus typhina,Staghorn Sumac,205377
47,43.00803897,-78.7827712,139.0142275,147,Populus deltoides,Eastern Cottonwood,205378
48,43.0080176,-78.78278452,139.4882627,148,Populus deltoides,Eastern Cottonwood,205379
49,43.008574,-78.783547,140,149,Robinia pseudoacacia,Black Locust,205537
50,43.00842901,-78.7843245,139.7110005,150,Malus sp.,Apple,205380
51,43.0084295,-78.7842302,142.4825786,151,Malus sp.,Apple,205381
52,43.008453,-78.784205,142.4825786,152,Malus sp.,Apple,205382
53,43.00847166,-78.78421756,140.7248315,153,Malus sp.,Apple,205383
54,43.00851387,-78.78424569,131.6308055,154,Malus sp.,Apple,205384
55,43.00850338,-78.78427753,137.0293182,155,Malus sp.,Apple,205385
56,43.00851871,-78.78422584,144.1926372,156,Malus sp.,Apple,205386
57,43.00853625,-78.78417713,139.4583766,157,Malus sp.,Apple,205387
58,43.00854516,-78.78421433,139.192468,158,Malus sp.,Apple,205388
59,43.00863124,-78.78416584,139.580393,159,Malus sp.,Apple,205389
60,43.00837866,-78.78440191,137.0149251,160,Tilia americana,American Basswood,205390
61,43.00840754,-78.78432832,137.3458182,161,Tilia americana,American Basswood,205538
62,43.00839365,-78.78448976,139.714196,162,Tilia americana,American Basswood,205539
63,43.00846674,-78.78449322,138.3195566,163,Tilia americana,American Basswood,205540
64,43.00852761,-78.78448697,140.0470664,164,Tilia americana,American Basswood,205541
65,43.00865531,-78.78466776,138.6725718,165,Tilia americana,American Basswood,205542
66,43.00865488,-78.78464059,151.5488403,166,Tilia americana,American Basswood,205543
67,43.00872847,-78.78467893,140.3257338,167,Tilia americana,American Basswood,205544
